batch_size,epochs,learning_rate,n_classes,regularization,train_accuracy,train_f1_macro,train_f1_micro,val_accuracy,val_f1_macro,val_f1_micro
8,6,5e-05,6,0,0.9318125,0.8971001788897938,0.9318125,0.9275,0.9015215756750976,0.9275
16,6,5e-05,6,0,0.93875,0.9039780165942969,0.93875,0.9355,0.9054901288947518,0.9355
8,6,5e-05,6,1e-05,0.9361875,0.9055045730329553,0.9361875,0.93,0.8986030170818959,0.93
16,6,5e-05,6,1e-05,0.959125,0.9345971844504128,0.959125,0.936,0.9121271059411297,0.936
8,6,0.0001,6,0,0.707375,0.5583598292685087,0.707375,0.7805,0.636744536608675,0.7805
16,6,0.0001,6,0,0.9096875,0.8747083713197484,0.9096875,0.915,0.8808307859796366,0.915
8,6,0.0001,6,1e-05,0.3241875,0.11835767229025657,0.3241875,0.352,0.08678500986193294,0.352
16,6,0.0001,6,1e-05,0.92275,0.8914173694918829,0.92275,0.9095,0.885311361811164,0.9095
8,6,1e-05,6,0,0.9583125,0.9326840467896388,0.9583125,0.9395,0.9105635933813442,0.9395
16,6,1e-05,6,0,0.953875,0.9277144196135466,0.953875,0.9355,0.9120377238770473,0.9355
8,6,1e-05,6,1e-05,0.9579375,0.9305723928035033,0.9579375,0.9375,0.9099436290802477,0.9375
16,6,1e-05,6,1e-05,0.9611875,0.9372942685503048,0.9611875,0.9325,0.9059068970496996,0.9325
