word,emotion,score
aaron,anger,4.175355382879756e-05
abhorrent,anger,0.00015314013701327512
ability,anger,5.491431943775675e-06
able,anger,7.202655608155448e-05
about,anger,0.0007259607138110866
absolutely,anger,5.071715731087866e-06
abt,anger,7.177997131887367e-05
abuse,anger,1.2990603014735001e-05
academia,anger,1.6650879908065702e-05
accelerate,anger,2.185458153534312e-05
accept,anger,7.298083042506954e-05
acceptable,anger,1.5771599183343518e-05
acceptance,anger,2.3693708393208935e-05
accomplish,anger,2.132368701744861e-05
account,anger,5.4060712139024775e-06
acctually,anger,3.6296715856085475e-05
ache,anger,6.236435359256215e-05
acknowledge,anger,6.209028699526496e-06
act,anger,0.00013302445991900623
action,anger,2.2303068205639487e-05
activist,anger,5.579358433363162e-06
actor,anger,1.0954531518508259e-05
actual,anger,2.1866579470199957e-05
actuality,anger,1.3811790406894343e-05
actually,anger,1.6592756761594287e-05
adapt,anger,3.443458830967788e-05
add,anger,8.3951920634852e-05
addiction,anger,1.0917151552696003e-05
addictive,anger,2.1619931500623093e-05
adequately,anger,6.536344777751749e-05
adjective,anger,3.8810660225083917e-05
adjust,anger,1.589709131890811e-05
admire,anger,0.0001462154209819063
admit,anger,0.000177941001779709
adorable,anger,2.1356139329219664e-05
advance,anger,1.0107948357940533e-05
advantage,anger,7.865497531291552e-05
advice,anger,6.4173498501472395e-06
affected,anger,4.0613265024896925e-05
affectionate,anger,3.925400719413816e-05
afford,anger,1.3227453217834134e-06
afraid,anger,9.630675111651776e-06
after,anger,0.0002824351796041264
again,anger,0.0002239793336453894
against,anger,7.901661360631267e-05
age,anger,1.4977250599673156e-05
aggravate,anger,0.003183253172063569
aggravated,anger,0.0034315631863536676
agitate,anger,0.00921503901777238
agitated,anger,0.004539264846395689
ago,anger,0.00015175875405756237
agree,anger,1.114352684216016e-06
agreement,anger,0.00020914602186553242
ahead,anger,6.10833420734494e-05
aint,anger,4.872872570554625e-05
air,anger,2.4563905658321654e-05
airport,anger,0.00025282430726301914
aka,anger,2.430915971585894e-05
alaska,anger,1.1008682499677044e-05
alcoholic,anger,7.737893376145648e-05
alert,anger,5.1944529088385127e-05
all,anger,0.000705965331360716
allocated,anger,0.00014195933517558655
allow,anger,0.00014727519397319248
almost,anger,1.846858245723788e-05
alone,anger,0.0001251716255508156
already,anger,6.426419487117338e-05
alright,anger,1.0615886539856494e-05
also,anger,0.00018593495449741105
always,anger,0.00031509128163849674
america,anger,9.531735832414172e-05
amish,anger,2.997180193295611e-05
amount,anger,8.382532463624707e-05
amp,anger,0.00019349825563126066
amused,anger,6.146915552730768e-05
an,anger,0.0001737445045230128
anatomy,anger,0.0003551624089115438
and,anger,0.004338055476058228
andrea,anger,1.509384144365013e-05
anger,anger,0.0033483557792262668
angered,anger,0.0012621068319018155
angry,anger,0.01718053847691079
anime,anger,3.0915219833953062e-06
annoy,anger,0.012615331910072362
annoyance,anger,1.6411842250365784e-05
annoyed,anger,0.006034243583052442
annual,anger,3.3744235345015573e-06
another,anger,0.00017707254204458997
anothers,anger,4.865176945066389e-06
answer,anger,3.950187975554852e-05
antsy,anger,4.709769343926108e-08
anxiety,anger,1.3566440324360693e-05
anxious,anger,0.0001168006837367489
any,anger,8.181374867680424e-05
anybody,anger,2.3685993818228383e-05
anymore,anger,0.0001116442292460049
anyone,anger,2.835188734296843e-05
anything,anger,0.00037351381024921864
apartment,anger,5.6225626964453916e-05
apathy,anger,6.397428341132027e-06
apologies,anger,4.979301331277398e-06
apologise,anger,1.5110062286301558e-05
apologize,anger,1.8662474813467612e-05
apologizes,anger,7.151010019067533e-05
apostrophe,anger,2.195698875542696e-05
appal,anger,0.003678002861231233
appalled,anger,0.0010054336150231533
apparent,anger,5.147382633966937e-06
appear,anger,7.442514035938685e-06
appearance,anger,6.084528136401043e-05
apple,anger,0.0003294246040998442
apply,anger,1.0061286260649253e-05
appointment,anger,0.00018314557354317588
appreciate,anger,5.268890513828377e-06
apprehensive,anger,1.2902269883066515e-05
approach,anger,2.6241078592609388e-05
april,anger,5.107182820039219e-06
argue,anger,5.582607823251767e-05
argument,anger,0.00029356156891016325
arm,anger,1.702466189740814e-05
army,anger,0.00043053274535515923
around,anger,0.00046064398602975806
arouse,anger,4.966653196152242e-05
arrive,anger,2.3560352348113232e-05
artist,anger,2.6315595074341096e-05
as,anger,0.00023529228243073
asciatic,anger,0.00025191524092402933
ashamed,anger,9.795735502831647e-06
ashton,anger,1.0055761488489973e-05
ask,anger,9.664914291422845e-05
ass,anger,3.20511359636519e-05
asset,anger,2.7340245345860255e-05
at,anger,0.0018413641545149747
atiqah,anger,3.3312999389829815e-06
atleast,anger,1.9412475409322193e-05
attach,anger,5.290467436104603e-06
attack,anger,5.251707516140229e-06
attempt,anger,1.6996141671548206e-05
attitude,anger,1.5276480229882726e-05
aubrey,anger,5.441995133799826e-06
aunt,anger,4.402084285240654e-06
available,anger,1.2814929338860007e-05
avenue,anger,5.449926722397567e-06
aversion,anger,5.174347010947608e-06
avoid,anger,3.154944463308419e-05
aware,anger,3.7674925750700333e-06
away,anger,0.00020715459552295484
awe,anger,5.414810197644737e-06
awful,anger,4.623718932166227e-05
awfully,anger,1.2278627589064469e-05
awhile,anger,4.673339388836775e-05
awkward,anger,1.8109232466186826e-05
back,anger,0.0001703613519302996
backfire,anger,3.0703593788364406e-05
backpack,anger,3.911980034483745e-06
bad,anger,0.0001271592028735733
badly,anger,1.7544156680391568e-05
bag,anger,5.199875502922015e-06
bald,anger,4.8083383503099384e-06
banishes,anger,2.400201528235723e-05
bank,anger,2.987089113328624e-05
banter,anger,2.7552132129192888e-05
baptize,anger,2.6950722363930206e-05
barbie,anger,4.969442766899035e-06
bare,anger,3.8249599727838896e-05
barely,anger,4.480210422278679e-06
basically,anger,1.0041037064511509e-05
basks,anger,7.10323472503114e-06
bath,anger,4.753584036058209e-06
battle,anger,9.241231143772595e-05
